Bt-med,Bt-min,Bt-max,Bx-med,Bx-min,Bx-max,By-med,By-min,By-max,Bz-med,Bz-min,Bz-max,Phi-mean,Phi-min,Phi-max,Theta-med,Theta-min,Theta-max,Dens-med,Dens-min,Dens-max,Speed-med,Speed-min,Speed-max,Temp-med,Temp-min,Temp-max,TimeStamp,Year,Month,Day,Hour,Minute,Second
3.81,3.65,3.93,1.72,0.38,2.15,0.83,-2.87,1.56,-3.03,-3.13,-2.34,354.12,21.22,296.86,-52.44,-53.45,-38.99,4.65,4.56,4.93,435.1,432.4,446.1,71053,67791,76639,2021-03-19 09:45:00,2021,3,19,9,45,0
3.81,3.65,3.93,1.72,0.38,2.15,0.83,-2.87,1.56,-3.03,-3.13,-2.34,354.12,21.22,296.86,-52.44,-53.45,-38.99,4.65,4.56,4.93,435.1,432.4,446.1,71053,67791,76639,2021-03-19 12:10:00,2021,3,19,12,10,0
3.16,3.16,3.16,0.33,0.33,0.33,-0.51,-0.51,-0.51,-3.1,-3.1,-3.1,302.79,302.79,302.79,-78.92,-78.92,-78.92,4.65,4.56,4.93,435.1,432.4,446.1,71053,67791,76639,2021-03-19 12:15:00,2021,3,19,12,15,0
3.24,3.24,3.36,0.52,0.52,1.9,-0.79,-0.79,-0.58,-3.1,-3.1,-2.71,323.32,303.47,343.16,-73.04,-73.04,-53.73,4.65,4.56,4.93,435.1,432.4,446.1,71053,67791,76639,2021-03-19 12:20:00,2021,3,19,12,20,0
3.24,3.24,3.36,0.52,0.52,1.9,-0.79,-0.79,-0.58,-3.1,-3.1,-2.71,323.32,303.47,343.16,-73.04,-73.04,-53.73,4.65,4.56,4.93,435.1,432.4,446.1,71053,67791,76639,2021-03-19 12:25:00,2021,3,19,12,25,0
3.36,3.36,3.36,1.9,1.9,1.9,-0.58,-0.58,-0.58,-2.71,-2.71,-2.71,343.16,343.16,343.16,-53.73,-53.73,-53.73,3.38,3.38,3.38,297.56,297.56,297.56,21049,21049,21049,2021-03-19 12:30:00,2021,3,19,12,30,0
3.28,3.22,3.45,1.77,1.76,1.92,-0.72,-0.74,-0.52,-2.73,-2.77,-2.6,341.04,338.19,343.64,-55.02,-56.02,-52.54,3.87,3.36,4.15,295.29,295.09,297.51,18964,18840,22326,2021-03-19 12:35:00,2021,3,19,12,35,0
3.24,2.98,3.48,1.8,1.55,1.86,-0.2,-0.77,0.09,-2.79,-2.96,-2.24,351.5,1.87,353.67,-58.17,-60.85,-48.83,4.0,3.81,4.48,297.2,295.96,299.17,21625,18697,24790,2021-03-19 12:40:00,2021,3,19,12,40,0
3.32,3.2,3.37,1.65,1.47,1.72,-0.12,-0.16,-0.05,-2.87,-2.93,-2.82,356.23,354.42,358.19,-60.46,-62.59,-58.96,4.02,3.33,4.28,299.17,297.68,299.58,22591,21274,24841,2021-03-19 12:45:00,2021,3,19,12,45,0
3.38,3.25,3.46,1.71,1.04,1.93,-0.08,-0.28,0.04,-2.98,-3.19,-2.76,356.4,2.28,358.02,-60.06,-71.89,-54.74,4.05,2.79,4.26,302.5,299.03,304.86,24456,22377,27181,2021-03-19 12:50:00,2021,3,19,12,50,0
3.07,3.04,3.65,0.55,0.55,1.66,-0.12,-0.24,0.4,-3.0,-3.54,-2.96,12.69,30.9,352.32,-77.12,-77.95,-60.82,3.63,3.07,4.49,302.54,300.61,310.84,22068,12569,32125,2021-03-19 12:55:00,2021,3,19,12,55,0
2.98,2.96,3.13,0.39,0.32,0.45,0.77,0.62,0.79,-2.87,-3.02,-2.82,62.04,58.31,67.21,-73.64,-75.75,-72.36,2.9,2.77,3.4,300.02,299.24,302.0,17048,14501,18357,2021-03-19 13:00:00,2021,3,19,13,0,0
3.15,3.14,3.17,0.55,0.5,0.84,0.67,0.64,0.81,-3.01,-3.02,-2.97,47.62,37.39,57.07,-71.99,-73.08,-70.38,3.77,3.25,4.42,297.57,297.47,299.19,13428,13063,16265,2021-03-19 13:05:00,2021,3,19,13,5,0
3.07,3.02,3.23,0.81,0.8,1.13,0.8,0.73,0.89,-2.87,-2.99,-2.66,41.6,36.22,46.91,-67.6,-68.52,-61.56,3.0,2.92,3.92,297.07,297.07,299.34,15906,13377,17002,2021-03-19 13:10:00,2021,3,19,13,10,0
3.06,3.02,3.16,1.15,1.1,1.21,0.9,0.86,0.98,-2.66,-2.79,-2.63,37.99,35.43,41.61,-61.16,-62.2,-60.57,3.39,2.88,4.22,297.56,297.14,300.15,14036,13374,16818,2021-03-19 13:15:00,2021,3,19,13,15,0
