RTSW web plot data - created 2021-03-24 12:05:38
More information is available from SWPC at http://www.swpc.noaa.gov/products/real-time-solar-wind

Start: 2021-03-24T10:10:00
End:   2021-03-24T10:10:00
Source: 0=ACE, 1=DSCOVR, 2=mixed ACE+DSCOVR

Resolution: highres
Phi mean is the average angle, taking into account the wrapping at 0/360 degrees

More data is available from the NCEI archive at https://www.ngdc.noaa.gov/dscovr

Timestamp           Source        Bt        Bx        By        Bz       Phi     Theta      Dens     Speed      Temp
2021-03-24 10:10:00      1      5.02     -0.97      2.45     -4.27    111.50    -58.29      3.80    416.40     66213 
2021-03-24 10:10:01      1      5.08     -0.98      2.44     -4.34    111.88    -58.84    -99999    -99999    -99999 
2021-03-24 10:10:02      1      5.06     -0.96      2.47     -4.31    111.33    -58.40    -99999    -99999    -99999 
2021-03-24 10:10:03      1      5.08     -1.02      2.54     -4.27    111.84    -57.32    -99999    -99999    -99999 
2021-03-24 10:10:04      1      5.10     -1.05      2.52     -4.30    112.55    -57.58    -99999    -99999    -99999 
2021-03-24 10:10:05      1      5.11     -1.01      2.42     -4.39    112.67    -59.11    -99999    -99999    -99999 
2021-03-24 10:10:06      1      5.08     -0.96      2.38     -4.38    111.88    -59.65    -99999    -99999    -99999 
2021-03-24 10:10:07      1      5.07     -0.97      2.34     -4.39    112.52    -60.01    -99999    -99999    -99999 
2021-03-24 10:10:08      1      5.07     -0.87      2.25     -4.46    111.27    -61.61    -99999    -99999    -99999 
2021-03-24 10:10:09      1      5.12     -1.00      2.44     -4.38    112.23    -59.02    -99999    -99999    -99999 
2021-03-24 10:10:10      1      5.15     -0.99      2.51     -4.39    111.42    -58.45    -99999    -99999    -99999 
2021-03-24 10:10:11      1      5.15     -0.99      2.43     -4.43    112.20    -59.34    -99999    -99999    -99999 
2021-03-24 10:10:12      1      5.12     -0.95      2.35     -4.45    112.08    -60.32    -99999    -99999    -99999 
2021-03-24 10:10:13      1      5.10     -1.02      2.39     -4.39    113.18    -59.38    -99999    -99999    -99999 
2021-03-24 10:10:14      1      5.11     -0.99      2.38     -4.42    112.48    -59.69    -99999    -99999    -99999 
2021-03-24 10:10:15      1      5.18     -1.07      2.49     -4.41    113.18    -58.47    -99999    -99999    -99999 
2021-03-24 10:10:16      1      5.16     -1.07      2.50     -4.38    113.23    -58.15    -99999    -99999    -99999 
2021-03-24 10:10:17      1      5.19     -1.10      2.51     -4.41    113.61    -58.17    -99999    -99999    -99999 
2021-03-24 10:10:18      1      5.18     -1.06      2.55     -4.38    112.60    -57.74    -99999    -99999    -99999 
2021-03-24 10:10:19      1      5.17     -1.09      2.55     -4.36    113.27    -57.59    -99999    -99999    -99999 
2021-03-24 10:10:20      1      5.16     -1.07      2.54     -4.37    112.82    -57.73      3.38    420.30     66738 
2021-03-24 10:10:21      1      5.17     -1.05      2.51     -4.39    112.72    -58.18    -99999    -99999    -99999 
