,Timestamp,Unnamed: 1,Source,Bt-med,Bt-min,Bt-max,Bx-med,Bx-min,Bx-max,By-med,By-min,By-max,Bz-med,Bz-min,Bz-max,Phi-mean,Phi-min,Phi-max,Theta-med,Theta-min,Theta-max,Dens-med,Dens-min,Dens-max,Speed-med,Speed-min,Speed-max,Temp-med,Temp-min,Temp-max
0,2021-03-14,12:00:00,1,4.29,4.22,4.33,3.87,3.77,4.02,1.24,1.13,1.53,1.02,0.91,1.24,18.24,16.31,21.61,13.64,12.27,17.12,6.89,6.81,6.94,548.7,547.8,549.1,217197,210666,220658
1,2021-03-14,12:05:00,1,4.37,4.28,4.65,4.03,3.96,4.52,0.22,-0.17,0.87,1.3,0.99,1.61,3.21,2.77,359.67,17.56,12.33,21.68,6.78,6.66,6.98,547.6,542.9,551.1,209119,200914,216008
2,2021-03-14,12:10:00,1,4.45,4.34,4.66,4.41,4.29,4.58,0.08,-0.14,0.56,0.32,0.01,0.82,2.23,0.66,358.28,4.08,0.11,10.18,6.83,6.75,7.0,545.2,542.6,547.0,208227,202340,220053
3,2021-03-14,12:15:00,1,4.3,4.27,4.42,4.28,4.23,4.41,-0.08,-0.15,0.36,0.08,-0.28,0.18,0.22,0.73,358.89,1.03,-3.72,2.47,7.02,6.89,7.04,545.5,545.2,546.0,215175,210269,217803
4,2021-03-14,12:20:00,1,4.38,4.29,4.42,3.99,3.81,4.27,-1.76,-2.01,-0.42,-0.75,-0.88,-0.57,340.79,332.13,354.34,-9.9,-11.93,-7.4,7.03,7.0,7.12,545.6,545.2,546.5,213016,207357,220395
5,2021-03-14,12:25:00,1,4.28,4.14,4.39,2.78,2.65,3.62,-2.8,-3.23,-2.13,-1.22,-1.84,-0.6,317.37,310.16,329.47,-16.71,-25.56,-8.18,7.18,7.11,7.24,545.6,544.6,546.8,209167,201791,213079
6,2021-03-14,12:30:00,1,4.37,4.29,4.44,2.75,2.43,3.67,-2.96,-3.28,-1.29,-1.58,-2.01,-1.39,318.3,306.56,340.64,-21.36,-26.91,-18.75,7.05,7.03,7.21,545.6,541.7,546.2,205852,198115,226028
7,2021-03-14,12:35:00,1,3.67,3.63,4.1,-0.46,-0.67,2.4,-3.46,-3.51,-2.82,-0.94,-1.52,-0.31,272.36,259.11,310.45,-15.21,-22.37,-4.96,7.18,7.11,7.26,553.4,547.5,555.6,203585,197232,211772
8,2021-03-14,12:40:00,1,3.61,3.44,3.64,-0.01,-0.27,1.17,-3.43,-3.58,-3.3,-0.53,-0.91,-0.42,273.71,265.54,289.51,-8.85,-14.63,-6.63,7.21,7.11,7.34,551.2,547.8,553.0,208801,207917,212679
9,2021-03-14,12:45:00,1,3.81,3.43,3.89,0.84,0.65,2.0,-3.67,-3.82,-2.28,0.14,-0.03,1.5,288.15,279.69,311.16,2.06,-0.47,26.26,7.19,6.89,7.2,550.2,548.7,551.8,208530,195395,214031
